smile_1,smile_2,label
[Ca++].[N-]=C=[N-],C[N+](C)(C)CCO.OC1=CC=CC=C1C([O-])=O,1
NCCN.CN1C2=C(NC=N2)C(=O)N(C)C1=O.CN1C2=C(NC=N2)C(=O)N(C)C1=O,[Na+].[Na+].N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1)C([O-])=O.N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C(I)=C2)C(I)=C1)C([O-])=O,8
CCO,[H]C(Cl)(Br)C(F)(F)F,5
NC12CC3CC(CC(C3)C1)C2,CCO,5
N.N.Cl[Pt+2]Cl,ClCCN(CCCl)P1(=O)NCCCO1,27
N.N.Cl[Pt+2]Cl,OC(=O)CCCC[C@@H]1CCSS1,4
CC(N)CC1=CC=CC=C1,CCO,1
[Ca++].[N-]=C=[N-],N[C@@H]([C@H](O)C1=CC(O)=C(O)C=C1)C(O)=O,1
NCCN.CN1C2=C(NC=N2)C(=O)N(C)C1=O.CN1C2=C(NC=N2)C(=O)N(C)C1=O,CC(N)COC1=C(C)C=CC=C1C,0
FC1=CNC(=O)NC1=O,[H]C(Cl)(Br)C(F)(F)F,0
CC(=O)NC1=CC=C(O)C=C1,CCO,51
NCCN.CN1C2=C(NC=N2)C(=O)N(C)C1=O.CN1C2=C(NC=N2)C(=O)N(C)C1=O,CN1C(=O)NC(=O)C(C)(C1=O)C1=CCCCC1,3
CCO,[H][C@]12OC[C@@H](O[N+]([O-])=O)[C@@]1([H])OC[C@@H]2O,64
NCCN.CN1C2=C(NC=N2)C(=O)N(C)C1=O.CN1C2=C(NC=N2)C(=O)N(C)C1=O,NC(=O)N1C2=CC=CC=C2C=CC2=CC=CC=C12,3
CCO,CN1C(=O)CC(C)(C1=O)C1=CC=CC=C1,5
CCOC(=O)C1=CC=C(N)C=C1,CCO,5
ClC1=CC2=C(OC(=O)N2)C=C1,[H]C(Cl)(Br)C(F)(F)F,1
CCO,CC(N)COC1=C(C)C=CC=C1C,0
[H]C(Cl)(Br)C(F)(F)F,NNC(=O)C1=CC=NC=C1,0
NC1=CC=NC=C1,NNC(=O)C1=CC=NC=C1,0
C[C@H](C1=CNC=N1)C1=C(C)C(C)=CC=C1,CCO,5
[Ca++].[N-]=C=[N-],CC(C)(C)NCC(O)C1=CC(Cl)=C(N)C(Cl)=C1,1
NC12CC3CC(CC(C3)C1)C2,CC12CC3CC(C)(C1)CC(N)(C3)C2,1
CCO,[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])C=C[C@@H]2O,5
NCCN.CN1C2=C(NC=N2)C(=O)N(C)C1=O.CN1C2=C(NC=N2)C(=O)N(C)C1=O,BrC1=CC2=C(NC(=O)CN=C2C2=CC=CC=N2)C=C1,4
[H]C(Cl)(Br)C(F)(F)F,NNC1=NN=CC2=CC=CC=C12,1
O=[As]O[As]=O,NNC1=NN=CC2=CC=CC=C12,1
NCCN.CN1C2=C(NC=N2)C(=O)N(C)C1=O.CN1C2=C(NC=N2)C(=O)N(C)C1=O,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3,2
NCCN.CN1C2=C(NC=N2)C(=O)N(C)C1=O.CN1C2=C(NC=N2)C(=O)N(C)C1=O,ClC1=CC2=C(C=C1)N1C=NN=C1CN=C2C1=CC=CC=C1,4
NCC1(CC(O)=O)CCCCC1,[H]C(Cl)(Br)C(F)(F)F,1
FC(F)OC(Cl)C(F)(F)F,COC(F)(F)C(Cl)Cl,1
CCO,NC(=N)NC(=O)CC1=C(Cl)C=CC=C1Cl,5
CCCCCON=O,O=[As]O[As]=O,1
[H]C(Cl)(Br)C(F)(F)F,[H][C@]12OC[C@@H](O[N+]([O-])=O)[C@@]1([H])OC[C@@H]2O,1
NCCN.CN1C2=C(NC=N2)C(=O)N(C)C1=O.CN1C2=C(NC=N2)C(=O)N(C)C1=O,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3,2
CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1,CCO,5
